race,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,timestamp,contestdate
2020D,Pennsylvania,4/1/2020,Bernard Sanders,16.98376,29.03943,13:22:13  1 Apr 2020,6/2/2020
2020D,Oregon,4/1/2020,Bernard Sanders,26.97029,39.06805,13:22:13  1 Apr 2020,5/19/2020
2020D,Ohio,4/1/2020,Bernard Sanders,25.20659,29.27935,13:22:13  1 Apr 2020,4/28/2020
2020D,New York,4/1/2020,Bernard Sanders,17.28111,30.16268,13:22:13  1 Apr 2020,6/23/2020
2020D,New Mexico,4/1/2020,Bernard Sanders,22.74607,37.23016,13:22:13  1 Apr 2020,6/2/2020
2020D,New Jersey,4/1/2020,Bernard Sanders,19.78407,33.40797,13:22:13  1 Apr 2020,6/2/2020
2020D,National,4/1/2020,Bernard Sanders,32.23506,,13:22:13  1 Apr 2020,
2020D,Montana,4/1/2020,Bernard Sanders,2.000001,11.9145,13:22:13  1 Apr 2020,6/2/2020
2020D,Maryland,4/1/2020,Bernard Sanders,19.85274,28.14741,13:22:13  1 Apr 2020,6/2/2020
2020D,Kansas,4/1/2020,Bernard Sanders,36.27174,35.66826,13:22:13  1 Apr 2020,5/2/2020
